reward,step_time,total_stopped,total_wait_time
20.0,1545.0,13,334.0
91.0,1550.0,10,209.0
125.0,1555.0,5,247.0
-38.0,1560.0,6,271.0
-24.0,1565.0,14,325.0
-54.0,1570.0,20,412.0
-87.0,1575.0,19,451.0
-39.0,1580.0,17,421.0
30.0,1585.0,15,485.0
-64.0,1590.0,15,559.0
-74.0,1595.0,16,635.0
-76.0,1600.0,23,736.0
-101.0,1605.0,31,872.0
-136.0,1610.0,37,1042.0
-170.0,1615.0,38,1232.0
-190.0,1620.0,32,1283.0
-51.0,1625.0,24,1188.0
95.0,1630.0,17,968.0
220.0,1635.0,6,999.0
-31.0,1640.0,7,1018.0
-19.0,1645.0,9,949.0
69.0,1650.0,6,765.0
184.0,1655.0,7,790.0
-25.0,1660.0,10,834.0
-44.0,1665.0,11,768.0
66.0,1670.0,8,604.0
164.0,1675.0,8,584.0
20.0,1680.0,9,625.0
-41.0,1685.0,8,554.0
71.0,1690.0,4,366.0
188.0,1695.0,2,129.0
237.0,1700.0,2,134.0
-5.0,1705.0,8,160.0
-26.0,1710.0,6,135.0
25.0,1715.0,4,99.0
36.0,1720.0,2,48.0
51.0,1725.0,2,50.0
-2.0,1730.0,7,77.0
-27.0,1735.0,13,132.0
-55.0,1740.0,14,165.0
-33.0,1745.0,12,158.0
7.0,1750.0,11,181.0
-23.0,1755.0,12,237.0
-56.0,1760.0,9,245.0
-8.0,1765.0,7,215.0
30.0,1770.0,3,212.0
3.0,1775.0,8,241.0
-29.0,1780.0,9,245.0
-4.0,1785.0,6,182.0
63.0,1790.0,7,205.0
-23.0,1795.0,11,245.0
-40.0,1800.0,15,308.0
-63.0,1805.0,15,327.0
-19.0,1810.0,14,289.0
38.0,1815.0,14,226.0
63.0,1820.0,7,251.0
-25.0,1825.0,8,270.0
-19.0,1830.0,8,266.0
4.0,1835.0,6,213.0
53.0,1840.0,4,140.0
73.0,1845.0,2,139.0
1.0,1850.0,6,162.0
-23.0,1855.0,13,212.0
-50.0,1860.0,13,228.0
-16.0,1865.0,13,206.0
22.0,1870.0,11,256.0
-50.0,1875.0,11,303.0
-47.0,1880.0,16,371.0
-68.0,1885.0,16,386.0
