,step,total_stopped
1714,8875.0,66
1715,8880.0,66
1716,8885.0,80
1717,8890.0,74
1718,8895.0,52
1719,8900.0,64
1720,8905.0,81
1721,8910.0,91
1722,8915.0,84
1723,8920.0,69
1724,8925.0,64
1725,8930.0,72
1726,8935.0,69
1727,8940.0,62
1728,8945.0,69
1729,8950.0,64
1730,8955.0,71
1731,8960.0,77
1732,8965.0,65
1733,8970.0,59
1734,8975.0,79
1735,8980.0,88
1736,8985.0,88
1737,8990.0,65
1738,8995.0,64
1739,9000.0,71
1740,9005.0,74
1741,9010.0,85
1742,9015.0,78
1743,9020.0,80
1744,9025.0,76
1745,9030.0,71
1746,9035.0,70
1747,9040.0,80
1748,9045.0,85
1749,9050.0,67
1750,9055.0,89
1751,9060.0,85
1752,9065.0,99
1753,9070.0,72
1754,9075.0,49
1755,9080.0,68
1756,9085.0,81
1757,9090.0,60
1758,9095.0,65
1759,9100.0,77
1760,9105.0,80
1761,9110.0,68
1762,9115.0,77
1763,9120.0,69
1764,9125.0,82
1765,9130.0,49
1766,9135.0,73
1767,9140.0,70
1768,9145.0,85
1769,9150.0,60
1770,9155.0,66
1771,9160.0,52
1772,9165.0,86
1773,9170.0,68
1774,9175.0,67
1775,9180.0,64
1776,9185.0,73
1777,9190.0,63
1778,9195.0,74
1779,9200.0,70
1780,9205.0,75
1781,9210.0,59
1782,9215.0,61
1783,9220.0,72
1784,9225.0,74
1785,9230.0,42
1786,9235.0,57
1787,9240.0,63
1788,9245.0,73
1789,9250.0,62
1790,9255.0,72
1791,9260.0,68
1792,9265.0,66
1793,9270.0,52
1794,9275.0,69
1795,9280.0,79
1796,9285.0,75
1797,9290.0,58
1798,9295.0,60
1799,9300.0,71
1800,9305.0,59
1801,9310.0,53
1802,9315.0,68
1803,9320.0,82
1804,9325.0,64
1805,9330.0,57
1806,9335.0,64
1807,9340.0,72
1808,9345.0,72
1809,9350.0,72
1810,9355.0,56
1811,9360.0,62
1812,9365.0,72
1813,9370.0,58
1814,9375.0,53
1815,9380.0,60
1816,9385.0,65
1817,9390.0,77
1818,9395.0,73
1819,9400.0,71
1820,9405.0,69
1821,9410.0,66
1822,9415.0,64
1823,9420.0,73
1824,9425.0,82
1825,9430.0,81
1826,9435.0,58
1827,9440.0,47
1828,9445.0,54
1829,9450.0,77
1830,9455.0,63
1831,9460.0,64
1832,9465.0,52
1833,9470.0,60
1834,9475.0,59
1835,9480.0,70
1836,9485.0,40
1837,9490.0,58
1838,9495.0,65
1839,9500.0,62
1840,9505.0,48
1841,9510.0,64
1842,9515.0,62
1843,9520.0,49
1844,9525.0,45
1845,9530.0,59
1846,9535.0,61
1847,9540.0,74
1848,9545.0,68
1849,9550.0,54
1850,9555.0,80
1851,9560.0,80
1852,9565.0,55
1853,9570.0,51
1854,9575.0,61
1855,9580.0,81
1856,9585.0,61
1857,9590.0,42
1858,9595.0,55
1859,9600.0,65
1860,9605.0,69
1861,9610.0,47
1862,9615.0,71
1863,9620.0,56
1864,9625.0,64
1865,9630.0,48
1866,9635.0,51
1867,9640.0,59
1868,9645.0,65
1869,9650.0,54
1870,9655.0,46
1871,9660.0,61
1872,9665.0,69
1873,9670.0,77
1874,9675.0,73
1875,9680.0,54
1876,9685.0,48
1877,9690.0,68
1878,9695.0,65
1879,9700.0,56
1880,9705.0,48
1881,9710.0,56
1882,9715.0,73
1883,9720.0,64
1884,9725.0,63
1885,9730.0,51
1886,9735.0,71
1887,9740.0,49
1888,9745.0,51
1889,9750.0,57
1890,9755.0,68
1891,9760.0,54
1892,9765.0,63
1893,9770.0,63
1894,9775.0,70
1895,9780.0,56
1896,9785.0,76
1897,9790.0,77
1898,9795.0,75
1899,9800.0,57
1900,9805.0,54
1901,9810.0,66
1902,9815.0,64
1903,9820.0,56
1904,9825.0,60
1905,9830.0,72
1906,9835.0,64
1907,9840.0,49
1908,9845.0,65
1909,9850.0,78
1910,9855.0,64
1911,9860.0,46
1912,9865.0,58
1913,9870.0,78
1914,9875.0,58
1915,9880.0,55
1916,9885.0,50
1917,9890.0,72
1918,9895.0,59
1919,9900.0,53
1920,9905.0,48
1921,9910.0,50
1922,9915.0,69
1923,9920.0,74
1924,9925.0,48
1925,9930.0,42
1926,9935.0,43
1927,9940.0,72
1928,9945.0,66
1929,9950.0,51
1930,9955.0,56
1931,9960.0,61
1932,9965.0,44
1933,9970.0,54
1934,9975.0,59
1935,9980.0,63
1936,9985.0,44
1937,9990.0,65
1938,9995.0,57
1939,10000.0,57
1940,10005.0,46
1941,10010.0,75
1942,10015.0,55
1943,10020.0,56
1944,10025.0,53
1945,10030.0,73
1946,10035.0,68
1947,10040.0,68
1948,10045.0,44
1949,10050.0,54
1950,10055.0,73
1951,10060.0,79
1952,10065.0,62
1953,10070.0,59
1954,10075.0,46
1955,10080.0,44
1956,10085.0,62
1957,10090.0,70
1958,10095.0,55
1959,10100.0,63
1960,10105.0,56
1961,10110.0,56
1962,10115.0,48
1963,10120.0,48
1964,10125.0,63
1965,10130.0,43
1966,10135.0,56
1967,10140.0,49
1968,10145.0,47
1969,10150.0,36
1970,10155.0,51
1971,10160.0,43
1972,10165.0,52
1973,10170.0,47
1974,10175.0,61
1975,10180.0,32
1976,10185.0,37
1977,10190.0,44
1978,10195.0,51
1979,10200.0,44
1980,10205.0,36
1981,10210.0,36
1982,10215.0,47
1983,10220.0,36
1984,10225.0,35
1985,10230.0,30
1986,10235.0,37
1987,10240.0,39
1988,10245.0,52
1989,10250.0,45
1990,10255.0,39
1991,10260.0,33
1992,10265.0,44
1993,10270.0,52
1994,10275.0,52
1995,10280.0,41
1996,10285.0,46
1997,10290.0,49
1998,10295.0,43
1999,10300.0,31
2000,10305.0,37
2001,10310.0,59
2002,10315.0,48
2003,10320.0,50
2004,10325.0,50
2005,10330.0,52
2006,10335.0,43
2007,10340.0,47
2008,10345.0,65
2009,10350.0,72
2010,10355.0,76
2011,10360.0,96
2012,10365.0,106
2013,10370.0,77
2014,10375.0,68
2015,10380.0,75
2016,10385.0,87
2017,10390.0,74
2018,10395.0,67
2019,10400.0,74
2020,10405.0,62
2021,10410.0,64
2022,10415.0,51
2023,10420.0,56
2024,10425.0,83
2025,10430.0,70
2026,10435.0,58
2027,10440.0,47
2028,10445.0,64
