,buffer_size,step_time,total_stopped,total_wait_time
549,30,3050.0,153,8441.0
550,30,3055.0,153,8336.0
551,30,3060.0,143,8342.0
552,30,3065.0,140,8565.0
553,30,3070.0,151,8793.0
554,30,3075.0,172,9160.0
555,30,3080.0,150,9675.0
556,30,3085.0,126,10104.0
557,30,3090.0,140,10549.0
558,30,3095.0,163,11079.0
559,30,3100.0,176,11149.0
560,30,3105.0,189,11259.0
561,30,3110.0,216,11610.0
562,30,3115.0,222,11653.0
563,30,3120.0,221,11930.0
564,30,3125.0,223,11957.0
565,30,3130.0,226,12231.0
566,30,3135.0,185,11935.0
567,30,3140.0,179,12188.0
568,30,3145.0,163,12397.0
569,30,3150.0,158,12818.0
570,30,3155.0,160,12631.0
571,30,3160.0,153,12726.0
572,31,3165.0,160,12951.0
573,32,3170.0,176,13744.0
574,32,3175.0,167,14103.0
575,32,3180.0,163,14345.0
576,32,3185.0,170,14425.0
577,32,3190.0,182,14804.0
578,32,3195.0,190,14656.0
579,32,3200.0,172,13803.0
580,32,3205.0,167,12684.0
581,32,3210.0,143,12342.0
582,32,3215.0,117,11793.0
583,32,3220.0,123,10908.0
584,32,3225.0,138,10750.0
585,32,3230.0,139,10580.0
586,32,3235.0,153,10619.0
587,32,3240.0,149,10072.0
588,32,3245.0,142,9933.0
589,32,3250.0,145,10126.0
590,32,3255.0,166,10331.0
591,32,3260.0,183,10894.0
592,32,3265.0,190,11709.0
593,32,3270.0,178,12394.0
594,32,3275.0,184,12723.0
595,32,3280.0,160,12255.0
596,32,3285.0,145,11368.0
597,32,3290.0,131,10656.0
598,32,3295.0,98,10798.0
599,32,3300.0,90,10736.0
600,32,3305.0,127,10328.0
601,32,3310.0,146,10361.0
602,32,3315.0,149,10613.0
603,32,3320.0,162,11038.0
604,32,3325.0,185,11317.0
605,32,3330.0,160,11417.0
606,32,3335.0,157,12042.0
607,32,3340.0,163,12688.0
608,32,3345.0,169,13053.0
609,32,3350.0,156,13623.0
610,32,3355.0,157,13116.0
611,32,3360.0,162,12781.0
612,32,3365.0,180,12786.0
613,32,3370.0,173,12727.0
614,32,3375.0,181,11862.0
615,32,3380.0,190,12069.0
616,32,3385.0,189,12217.0
617,32,3390.0,199,12415.0
618,32,3395.0,199,12259.0
619,32,3400.0,195,12541.0
620,32,3405.0,190,12803.0
621,32,3410.0,186,12769.0
622,32,3415.0,170,12380.0
623,32,3420.0,162,12623.0
624,32,3425.0,159,12566.0
625,32,3430.0,180,12484.0
626,32,3435.0,178,12781.0
627,32,3440.0,172,13076.0
628,32,3445.0,176,13742.0
629,32,3450.0,181,14197.0
630,32,3455.0,184,14052.0
631,32,3460.0,158,13735.0
632,33,3465.0,115,14156.0
633,33,3470.0,117,14185.0
634,33,3475.0,146,14336.0
635,33,3480.0,164,14353.0
636,33,3485.0,167,14387.0
637,34,3490.0,153,14531.0
638,35,3495.0,147,14952.0
639,37,3500.0,155,15182.0
640,39,3505.0,139,15062.0
641,39,3510.0,134,14219.0
642,39,3515.0,161,13544.0
643,39,3520.0,180,13229.0
644,39,3525.0,193,13561.0
645,39,3530.0,185,14106.0
646,39,3535.0,184,14357.0
647,39,3540.0,187,14897.0
648,39,3545.0,196,14957.0
649,39,3550.0,190,14729.0
650,39,3555.0,188,15130.0
651,39,3560.0,172,14833.0
652,39,3565.0,149,13563.0
653,39,3570.0,136,13248.0
654,39,3575.0,157,13100.0
655,39,3580.0,174,13129.0
656,39,3585.0,190,13032.0
657,39,3590.0,193,12669.0
658,39,3595.0,178,12636.0
659,39,3600.0,163,13150.0
660,39,3605.0,162,13316.0
661,39,3610.0,174,13296.0
662,39,3615.0,166,13492.0
663,39,3620.0,143,14276.0
664,39,3625.0,129,14500.0
665,39,3630.0,128,14108.0
666,39,3635.0,154,13608.0
667,39,3640.0,168,13048.0
668,39,3645.0,156,13120.0
669,39,3650.0,148,13413.0
670,39,3655.0,142,13348.0
671,39,3660.0,155,13339.0
672,39,3665.0,154,12782.0
673,39,3670.0,134,12046.0
674,39,3675.0,134,11860.0
675,39,3680.0,145,11593.0
676,39,3685.0,150,11569.0
677,39,3690.0,144,11204.0
678,39,3695.0,163,11103.0
679,39,3700.0,175,11270.0
680,39,3705.0,187,11392.0
681,39,3710.0,158,11554.0
682,39,3715.0,135,11538.0
683,39,3720.0,130,11432.0
684,39,3725.0,130,12149.0
685,39,3730.0,161,12231.0
686,39,3735.0,165,11886.0
687,39,3740.0,163,11642.0
688,39,3745.0,166,11567.0
689,39,3750.0,157,11261.0
690,39,3755.0,150,10462.0
691,39,3760.0,152,9767.0
692,39,3765.0,142,9458.0
693,39,3770.0,139,10306.0
694,39,3775.0,155,10527.0
695,39,3780.0,158,10782.0
696,39,3785.0,145,10681.0
697,39,3790.0,140,10901.0
698,39,3795.0,156,11198.0
699,39,3800.0,143,11596.0
700,39,3805.0,150,11832.0
701,39,3810.0,156,12047.0
702,39,3815.0,165,11910.0
703,39,3820.0,156,11316.0
704,39,3825.0,161,11270.0
705,39,3830.0,175,11711.0
706,39,3835.0,194,11658.0
707,39,3840.0,183,11643.0
708,39,3845.0,160,11498.0
709,39,3850.0,129,11569.0
710,39,3855.0,122,11225.0
711,39,3860.0,122,11108.0
712,39,3865.0,129,10683.0
713,39,3870.0,138,10949.0
714,39,3875.0,150,11171.0
715,39,3880.0,158,11347.0
716,39,3885.0,175,11843.0
717,39,3890.0,184,12314.0
718,39,3895.0,172,12294.0
719,39,3900.0,167,12043.0
720,39,3905.0,159,12815.0
721,39,3910.0,168,13321.0
722,39,3915.0,182,13548.0
723,39,3920.0,159,14197.0
724,39,3925.0,146,14318.0
