,buffer_size,step_time,total_stopped,total_wait_time
269,622,1650.0,151,11914.0
270,625,1655.0,125,12061.0
271,627,1660.0,117,11491.0
272,630,1665.0,127,11253.0
273,632,1670.0,139,11641.0
274,637,1675.0,122,12113.0
275,640,1680.0,130,12540.0
276,646,1685.0,133,12839.0
277,650,1690.0,143,12807.0
278,653,1695.0,129,12800.0
279,653,1700.0,133,13107.0
280,657,1705.0,124,12818.0
281,661,1710.0,126,12136.0
282,667,1715.0,127,11917.0
283,666,1720.0,131,12131.0
284,667,1725.0,125,12009.0
285,668,1730.0,106,11599.0
286,670,1735.0,124,10718.0
287,670,1740.0,137,10989.0
288,670,1745.0,146,11263.0
289,670,1750.0,148,11551.0
290,670,1755.0,127,11613.0
291,672,1760.0,127,11671.0
292,675,1765.0,127,11792.0
293,677,1770.0,126,11572.0
294,681,1775.0,129,10812.0
295,682,1780.0,122,10464.0
296,685,1785.0,113,10577.0
297,687,1790.0,103,10943.0
298,690,1795.0,90,10912.0
299,692,1800.0,103,11173.0
300,692,1805.0,103,11689.0
301,692,1810.0,113,11812.0
302,694,1815.0,140,11887.0
303,694,1820.0,143,12078.0
304,694,1825.0,145,12143.0
305,694,1830.0,121,12013.0
306,694,1835.0,123,11447.0
307,694,1840.0,127,11082.0
308,694,1845.0,126,11063.0
309,694,1850.0,138,11501.0
310,694,1855.0,155,11930.0
311,694,1860.0,180,11812.0
312,694,1865.0,191,11964.0
313,696,1870.0,167,11799.0
314,699,1875.0,132,11501.0
315,701,1880.0,132,11729.0
316,704,1885.0,133,11943.0
317,706,1890.0,132,12356.0
318,709,1895.0,132,12452.0
319,711,1900.0,120,12253.0
320,714,1905.0,123,12354.0
321,714,1910.0,144,12515.0
322,714,1915.0,131,12313.0
323,716,1920.0,128,11687.0
324,719,1925.0,144,11748.0
325,720,1930.0,141,11584.0
326,720,1935.0,117,11839.0
327,722,1940.0,96,11434.0
328,727,1945.0,112,11090.0
329,730,1950.0,123,11459.0
330,730,1955.0,152,11981.0
331,731,1960.0,171,12409.0
332,736,1965.0,162,12734.0
333,740,1970.0,148,12613.0
334,741,1975.0,141,13072.0
335,743,1980.0,151,13443.0
336,748,1985.0,125,12951.0
337,752,1990.0,109,12530.0
338,755,1995.0,109,12443.0
339,755,2000.0,114,13097.0
340,758,2005.0,114,13445.0
341,760,2010.0,149,13623.0
342,760,2015.0,139,13237.0
343,761,2020.0,98,13021.0
344,763,2025.0,90,12982.0
345,767,2030.0,115,12702.0
346,771,2035.0,140,12596.0
347,773,2040.0,154,12838.0
348,774,2045.0,141,12566.0
349,774,2050.0,128,13014.0
350,778,2055.0,120,13270.0
351,780,2060.0,124,13293.0
352,780,2065.0,126,13345.0
353,781,2070.0,121,13473.0
354,784,2075.0,117,13406.0
355,784,2080.0,100,12844.0
356,784,2085.0,90,11573.0
357,784,2090.0,108,11286.0
358,785,2095.0,123,11802.0
359,787,2100.0,133,11597.0
360,788,2105.0,134,11418.0
361,788,2110.0,143,10972.0
362,788,2115.0,160,10967.0
363,788,2120.0,156,11029.0
364,792,2125.0,126,11099.0
365,796,2130.0,109,11045.0
366,800,2135.0,94,11375.0
367,802,2140.0,100,11070.0
368,805,2145.0,115,10414.0
369,805,2150.0,110,10167.0
370,805,2155.0,114,10278.0
371,807,2160.0,127,10322.0
372,807,2165.0,110,9967.0
373,807,2170.0,105,9730.0
374,809,2175.0,122,9799.0
375,809,2180.0,117,10000.0
376,813,2185.0,105,10117.0
377,815,2190.0,108,9630.0
378,815,2195.0,129,9434.0
379,815,2200.0,134,8990.0
380,816,2205.0,141,8875.0
381,818,2210.0,133,9038.0
382,824,2215.0,136,9155.0
383,828,2220.0,149,10011.0
384,831,2225.0,159,10499.0
385,832,2230.0,168,10648.0
386,836,2235.0,163,10677.0
387,842,2240.0,133,10283.0
388,848,2245.0,96,10138.0
389,852,2250.0,85,9904.0
390,858,2255.0,84,9937.0
391,859,2260.0,103,9628.0
392,860,2265.0,131,9871.0
393,861,2270.0,119,9700.0
394,861,2275.0,104,9708.0
395,861,2280.0,104,9658.0
396,862,2285.0,92,9209.0
397,863,2290.0,91,9465.0
398,865,2295.0,102,9319.0
399,864,2300.0,96,8692.0
400,865,2305.0,107,8050.0
401,867,2310.0,100,7926.0
402,867,2315.0,110,7842.0
403,867,2320.0,104,8419.0
404,869,2325.0,107,8526.0
405,871,2330.0,111,8581.0
406,871,2335.0,120,8870.0
407,872,2340.0,123,8994.0
408,873,2345.0,108,8546.0
409,875,2350.0,82,8221.0
410,878,2355.0,80,7836.0
411,878,2360.0,73,7400.0
412,878,2365.0,58,6753.0
413,879,2370.0,86,6334.0
414,882,2375.0,103,6247.0
415,882,2380.0,101,6618.0
416,882,2385.0,83,6743.0
417,882,2390.0,86,6557.0
418,885,2395.0,96,6216.0
419,884,2400.0,106,6284.0
420,885,2405.0,99,6434.0
421,886,2410.0,81,6284.0
422,890,2415.0,80,6092.0
423,891,2420.0,76,5825.0
424,891,2425.0,76,5788.0
425,891,2430.0,90,5794.0
426,892,2435.0,109,5772.0
427,894,2440.0,121,5919.0
428,895,2445.0,103,6113.0
429,895,2450.0,100,5696.0
430,895,2455.0,113,5677.0
431,895,2460.0,110,6070.0
432,895,2465.0,111,6512.0
433,895,2470.0,99,6943.0
434,895,2475.0,98,7044.0
435,897,2480.0,102,7158.0
436,897,2485.0,114,7194.0
437,897,2490.0,113,7352.0
438,897,2495.0,110,7665.0
439,897,2500.0,114,8077.0
440,897,2505.0,115,7916.0
441,898,2510.0,108,7722.0
442,901,2515.0,112,7404.0
443,905,2520.0,108,7189.0
444,909,2525.0,90,7090.0
445,913,2530.0,91,7114.0
446,916,2535.0,79,7039.0
447,916,2540.0,79,6953.0
448,916,2545.0,91,6864.0
449,916,2550.0,109,7183.0
450,922,2555.0,108,7565.0
451,923,2560.0,92,7461.0
452,923,2565.0,101,7471.0
453,923,2570.0,94,7583.0
454,925,2575.0,98,7736.0
455,927,2580.0,85,8278.0
456,930,2585.0,75,8012.0
457,930,2590.0,67,7392.0
458,932,2595.0,66,7777.0
459,931,2600.0,81,7818.0
460,931,2605.0,76,7997.0
461,931,2610.0,94,7886.0
462,931,2615.0,100,8186.0
463,931,2620.0,96,8586.0
464,931,2625.0,104,9078.0
465,931,2630.0,135,9557.0
466,931,2635.0,168,9886.0
467,931,2640.0,172,10305.0
468,931,2645.0,168,10236.0
469,931,2650.0,161,9567.0
470,931,2655.0,145,9375.0
471,931,2660.0,147,8967.0
472,934,2665.0,142,8706.0
473,938,2670.0,120,8403.0
474,938,2675.0,113,8234.0
475,939,2680.0,140,8640.0
476,940,2685.0,148,8715.0
477,942,2690.0,122,9159.0
478,946,2695.0,109,9027.0
479,947,2700.0,107,8831.0
480,950,2705.0,90,8350.0
481,952,2710.0,64,8701.0
482,953,2715.0,84,8592.0
483,953,2720.0,93,8503.0
484,953,2725.0,115,9037.0
485,953,2730.0,119,9192.0
486,953,2735.0,106,9388.0
487,953,2740.0,89,9031.0
488,957,2745.0,88,9029.0
489,961,2750.0,96,9232.0
490,961,2755.0,83,8631.0
491,964,2760.0,97,8075.0
492,966,2765.0,84,7789.0
493,970,2770.0,81,7660.0
494,970,2775.0,112,7854.0
495,973,2780.0,137,8300.0
496,974,2785.0,152,8779.0
497,976,2790.0,141,9053.0
498,979,2795.0,143,8779.0
499,978,2800.0,138,8211.0
