,step,total_stopped
235,1480.0,73
236,1485.0,73
237,1490.0,83
238,1495.0,86
239,1500.0,55
240,1505.0,60
241,1510.0,92
242,1515.0,92
243,1520.0,90
244,1525.0,92
245,1530.0,67
246,1535.0,56
247,1540.0,75
248,1545.0,73
249,1550.0,65
250,1555.0,74
251,1560.0,56
252,1565.0,64
253,1570.0,74
254,1575.0,54
255,1580.0,56
256,1585.0,70
257,1590.0,56
258,1595.0,76
259,1600.0,90
260,1605.0,58
261,1610.0,73
262,1615.0,84
263,1620.0,74
264,1625.0,84
265,1630.0,88
266,1635.0,62
267,1640.0,55
268,1645.0,58
269,1650.0,57
270,1655.0,48
271,1660.0,91
272,1665.0,87
273,1670.0,69
274,1675.0,77
275,1680.0,68
276,1685.0,64
277,1690.0,81
278,1695.0,82
279,1700.0,70
280,1705.0,62
281,1710.0,53
282,1715.0,54
283,1720.0,68
284,1725.0,71
285,1730.0,65
286,1735.0,63
287,1740.0,50
288,1745.0,50
289,1750.0,69
290,1755.0,70
291,1760.0,83
292,1765.0,82
293,1770.0,52
294,1775.0,64
295,1780.0,73
296,1785.0,75
297,1790.0,92
298,1795.0,90
299,1800.0,74
300,1805.0,62
301,1810.0,78
302,1815.0,58
303,1820.0,63
304,1825.0,89
305,1830.0,68
306,1835.0,63
307,1840.0,88
308,1845.0,73
309,1850.0,75
310,1855.0,94
311,1860.0,76
312,1865.0,70
313,1870.0,73
314,1875.0,64
315,1880.0,70
316,1885.0,75
317,1890.0,69
318,1895.0,70
319,1900.0,70
320,1905.0,52
321,1910.0,50
322,1915.0,80
323,1920.0,67
324,1925.0,51
325,1930.0,73
326,1935.0,65
327,1940.0,61
328,1945.0,77
329,1950.0,69
330,1955.0,52
331,1960.0,60
332,1965.0,57
333,1970.0,70
334,1975.0,71
335,1980.0,58
336,1985.0,45
337,1990.0,63
338,1995.0,52
339,2000.0,64
340,2005.0,103
341,2010.0,72
342,2015.0,41
343,2020.0,76
344,2025.0,65
345,2030.0,48
346,2035.0,62
347,2040.0,59
348,2045.0,46
349,2050.0,80
350,2055.0,85
351,2060.0,74
352,2065.0,90
353,2070.0,66
354,2075.0,57
355,2080.0,82
356,2085.0,83
357,2090.0,64
358,2095.0,77
359,2100.0,94
360,2105.0,80
361,2110.0,83
362,2115.0,81
363,2120.0,67
364,2125.0,71
365,2130.0,88
366,2135.0,87
367,2140.0,83
368,2145.0,60
369,2150.0,67
