分钟,路口号+车道号,车流量
2024-10-20 03:21:00,WE,1
2024-10-20 03:22:00,NS,2
2024-10-20 03:22:00,SN,2
2024-10-20 03:23:00,NS,1
2024-10-20 03:23:00,WE,1
2024-10-20 03:24:00,NS,1
2024-10-20 03:24:00,SW,2
2024-10-20 03:24:00,WE,1
2024-10-20 03:25:00,NS,1
2024-10-20 03:25:00,SW,1
2024-10-20 03:26:00,ES,1
2024-10-20 03:26:00,NS,2
2024-10-20 03:26:00,SW,1
2024-10-20 03:26:00,WE,3
2024-10-20 03:27:00,NS,1
2024-10-20 03:27:00,SN,1
2024-10-20 03:28:00,EW,1
2024-10-20 03:28:00,SW,2
2024-10-20 03:29:00,SW,1
2024-10-20 03:29:00,WN,1
2024-10-20 03:30:00,EW,1
2024-10-20 03:30:00,NS,1
2024-10-20 03:31:00,SN,1
2024-10-20 03:31:00,SW,1
2024-10-20 03:31:00,WE,2
2024-10-20 03:32:00,NS,1
2024-10-20 03:32:00,SN,2
2024-10-20 03:32:00,SW,2
2024-10-20 03:33:00,NS,1
2024-10-20 03:33:00,SN,1
2024-10-20 03:33:00,WE,1
2024-10-20 03:34:00,EW,1
2024-10-20 03:34:00,NS,1
2024-10-20 03:34:00,SN,3
2024-10-20 03:34:00,SW,1
2024-10-20 03:35:00,WE,1
2024-10-20 03:36:00,ES,1
2024-10-20 03:36:00,NS,1
2024-10-20 03:36:00,SN,1
2024-10-20 03:36:00,WE,3
2024-10-20 03:38:00,SN,1
2024-10-20 03:38:00,WE,1
2024-10-20 03:39:00,NS,2
2024-10-20 03:40:00,NS,1
2024-10-20 03:40:00,WE,1
2024-10-20 03:41:00,ES,1
2024-10-20 03:41:00,SN,1
2024-10-20 03:41:00,SW,1
2024-10-20 03:41:00,WE,1
2024-10-20 03:42:00,WE,1
2024-10-20 03:43:00,SN,1
2024-10-20 03:44:00,EW,1
2024-10-20 03:44:00,NS,2
2024-10-20 03:45:00,EW,1
2024-10-20 03:45:00,SN,2
2024-10-20 03:45:00,WE,1
2024-10-20 03:46:00,EW,1
2024-10-20 03:46:00,NS,1
2024-10-20 03:47:00,NS,1
2024-10-20 03:47:00,SN,1
2024-10-20 03:47:00,WE,2
2024-10-20 03:48:00,NS,1
2024-10-20 03:48:00,SN,2
2024-10-20 03:49:00,NS,1
2024-10-20 03:50:00,EW,1
2024-10-20 03:50:00,WE,1
2024-10-20 03:51:00,WE,1
2024-10-20 03:52:00,ES,1
2024-10-20 03:52:00,SW,1
2024-10-20 03:53:00,EW,2
2024-10-20 03:53:00,NS,2
2024-10-20 03:54:00,NS,2
2024-10-20 03:54:00,SN,1
2024-10-20 03:54:00,WE,2
2024-10-20 03:57:00,NS,1
2024-10-20 03:57:00,SN,1
2024-10-20 03:58:00,EW,1
2024-10-20 03:58:00,SN,1
2024-10-20 03:59:00,NS,3
2024-10-20 03:59:00,SN,1
2024-10-20 03:59:00,SW,2
2024-10-20 04:00:00,EW,1
2024-10-20 04:03:00,SW,1
2024-10-20 04:04:00,NS,3
2024-10-20 04:05:00,SW,1
2024-10-20 04:06:00,NS,2
2024-10-20 04:06:00,SW,1
2024-10-20 04:07:00,NS,2
2024-10-20 04:07:00,SN,1
2024-10-20 04:07:00,WE,1
2024-10-20 04:08:00,NS,3
2024-10-20 04:09:00,NS,2
2024-10-20 04:10:00,ES,1
2024-10-20 04:10:00,WE,1
2024-10-20 04:12:00,EW,1
2024-10-20 04:12:00,NS,2
2024-10-20 04:14:00,SN,1
2024-10-20 04:15:00,EW,1
2024-10-20 04:16:00,EW,1
2024-10-20 04:16:00,NE,1
2024-10-20 04:16:00,NS,1
2024-10-20 04:17:00,NS,1
2024-10-20 04:17:00,WE,2
2024-10-20 04:18:00,NS,2
2024-10-20 04:19:00,NS,1
2024-10-20 04:20:00,SN,1
2024-10-20 04:21:00,ES,1
2024-10-20 04:21:00,SN,1
2024-10-20 04:21:00,WE,1
2024-10-20 04:22:00,NS,2
2024-10-20 04:22:00,SN,1
2024-10-20 04:22:00,WE,1
2024-10-20 04:23:00,NE,1
2024-10-20 04:23:00,SN,1
2024-10-20 04:23:00,SW,2
2024-10-20 04:23:00,WE,1
2024-10-20 04:24:00,EW,1
2024-10-20 04:24:00,NS,2
2024-10-20 04:25:00,NS,1
2024-10-20 04:25:00,SN,2
2024-10-20 04:25:00,SW,1
2024-10-20 04:25:00,WE,1
2024-10-20 04:25:00,WN,1
2024-10-20 04:26:00,NE,1
2024-10-20 04:26:00,SN,2
2024-10-20 04:26:00,SW,1
2024-10-20 04:26:00,WE,1
2024-10-20 04:27:00,EW,1
2024-10-20 04:27:00,SW,1
2024-10-20 04:27:00,WE,1
2024-10-20 04:28:00,SW,1
2024-10-20 04:28:00,WE,2
2024-10-20 04:29:00,NS,1
2024-10-20 04:31:00,EW,1
2024-10-20 04:31:00,WE,1
2024-10-20 04:32:00,NS,1
2024-10-20 04:32:00,SN,1
2024-10-20 04:32:00,WE,3
2024-10-20 04:33:00,NS,3
2024-10-20 04:34:00,SW,2
2024-10-20 04:35:00,NS,1
2024-10-20 04:35:00,SN,2
2024-10-20 04:36:00,NS,1
2024-10-20 04:36:00,SW,1
2024-10-20 04:36:00,WE,1
2024-10-20 04:37:00,SN,1
2024-10-20 04:37:00,SW,1
2024-10-20 04:37:00,WN,1
2024-10-20 04:38:00,NE,1
2024-10-20 04:38:00,NS,1
2024-10-20 04:38:00,SW,1
2024-10-20 04:39:00,WN,1
2024-10-20 04:40:00,EW,1
2024-10-20 04:40:00,SW,1
2024-10-20 04:41:00,EW,1
2024-10-20 04:41:00,NS,1
2024-10-20 04:41:00,SW,2
2024-10-20 04:43:00,NS,3
2024-10-20 04:44:00,NS,1
2024-10-20 04:45:00,SN,3
2024-10-20 04:45:00,SW,1
2024-10-20 04:46:00,EW,1
2024-10-20 04:46:00,SN,2
2024-10-20 04:46:00,WE,1
2024-10-20 04:47:00,SW,1
2024-10-20 04:48:00,NS,4
2024-10-20 04:48:00,WE,1
2024-10-20 04:49:00,SN,1
2024-10-20 04:49:00,SW,1
2024-10-20 04:50:00,NS,1
2024-10-20 04:50:00,SN,2
2024-10-20 04:50:00,WE,1
2024-10-20 04:52:00,EW,1
2024-10-20 04:52:00,NS,1
2024-10-20 04:52:00,SN,2
2024-10-20 04:53:00,SN,1
2024-10-20 04:54:00,SN,3
2024-10-20 04:54:00,WN,2
2024-10-20 04:55:00,EW,1
2024-10-20 04:55:00,NS,3
